,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
2079,West Brom,Man United,6.11,3.9,1.6,A,1.6,2.2,1.2,1.2,6.0
2080,Everton,Swansea,1.72,3.61,5.3,H,0.4,1.6,1.6,2.2,0.0
2081,Arsenal,Liverpool,2.47,3.61,2.8,D,3.4,0.8,1.2,2.2,4.0
2082,Brighton,Watford,2.6,3.14,2.93,H,1.6,1.6,2.0,0.8,5.0
2083,Burnley,Tottenham,6.73,4.08,1.53,A,0.6,0.2,2.0,1.0,5.0
2084,Everton,Chelsea,5.68,3.83,1.65,D,1.8,1.6,0.6,2.8,5.0
2085,Leicester,Man United,4.29,3.6,1.87,D,2.0,1.2,1.4,1.0,5.0
2086,Man City,Bournemouth,1.1,10.56,23.69,H,1.0,0.8,0.8,2.8,5.0
2087,Southampton,Huddersfield,1.6,3.88,6.26,D,0.8,1.4,3.0,1.4,5.0
2088,Stoke,West Brom,2.29,3.18,3.41,H,0.2,2.2,0.8,1.0,5.0
2089,Swansea,Crystal Palace,3.24,3.13,2.4,D,0.6,1.4,0.4,0.4,5.0
2090,West Ham,Newcastle,2.11,3.31,3.73,A,0.8,1.6,2.2,0.6,5.0
2091,Bournemouth,West Ham,2.74,3.23,2.7,D,1.2,1.6,2.0,1.2,1.0
2092,Chelsea,Brighton,1.2,6.9,16.27,H,0.8,0.6,1.0,2.0,1.0
2093,Huddersfield,Stoke,2.49,3.15,3.07,D,1.0,1.2,2.0,1.4,1.0
2094,Liverpool,Swansea,1.16,8.14,17.92,H,0.6,0.4,2.0,1.6,1.0
2095,Man United,Burnley,1.24,6.01,13.97,D,0.6,0.6,1.0,1.6,1.0
2096,Tottenham,Southampton,1.36,5.07,9.24,H,0.6,0.6,1.6,2.6,1.0
2097,Watford,Leicester,2.5,3.42,2.82,H,2.4,2.0,1.4,1.2,1.0
2098,West Brom,Everton,2.47,3.12,3.13,D,1.0,2.2,1.8,1.0,1.0
2099,Newcastle,Man City,12.97,6.41,1.23,A,2.6,1.6,0.8,0.6,2.0
2100,Crystal Palace,Arsenal,4.47,3.88,1.77,A,1.6,1.6,1.2,2.0,3.0
2101,Bournemouth,Everton,2.35,3.26,3.19,H,1.0,2.0,1.4,1.8,5.0
2102,Chelsea,Stoke,1.17,7.45,17.16,H,1.0,0.2,2.2,1.6,5.0
2103,Huddersfield,Burnley,2.35,3.05,3.42,D,1.0,1.2,0.8,1.2,5.0
2104,Liverpool,Leicester,1.3,5.8,9.48,H,2.2,0.4,1.6,2.0,5.0
2105,Man United,Southampton,1.36,5.01,9.21,D,0.8,1.0,2.4,1.8,5.0
2106,Newcastle,Brighton,2.12,3.19,3.82,D,0.2,1.8,1.4,0.4,5.0
2107,Watford,Swansea,1.69,3.69,5.39,A,0.4,2.0,2.6,1.6,5.0
2108,Crystal Palace,Man City,11.16,6.18,1.26,D,2.2,1.8,0.4,2.0,6.0
2109,West Brom,Arsenal,4.83,3.85,1.72,D,1.2,1.6,1.2,0.6,6.0
2110,Brighton,Bournemouth,2.39,3.1,3.29,D,0.6,1.4,1.4,0.8,0.0
2111,Burnley,Liverpool,6.96,4.31,1.5,A,3.8,0.8,1.0,0.8,0.0
2112,Everton,Man United,5.17,3.49,1.78,A,2.2,0.6,1.4,2.4,0.0
2113,Leicester,Huddersfield,1.65,3.85,5.63,H,1.0,1.6,2.6,1.0,0.0
2114,Stoke,Newcastle,2.3,3.28,3.28,A,1.4,2.0,2.4,1.4,0.0
2115,Man City,Watford,1.16,8.1,17.55,H,1.2,0.8,1.4,3.0,3.0
2116,Southampton,Crystal Palace,1.98,3.42,3.99,A,0.8,1.6,0.4,1.4,3.0
2117,Swansea,Tottenham,10.32,5.22,1.32,A,1.2,1.2,1.8,0.4,3.0
2118,West Ham,West Brom,1.94,3.33,4.24,H,0.4,1.6,1.2,1.0,3.0
2119,Arsenal,Chelsea,2.68,3.4,2.62,D,1.6,1.2,0.6,2.4,3.0
2120,Tottenham,West Ham,1.28,5.86,10.66,D,1.4,0.8,2.2,2.8,6.0
2121,Chelsea,Leicester,1.29,5.65,10.82,D,2.0,0.2,1.6,2.4,5.0
2122,Crystal Palace,Burnley,2.01,3.25,4.18,H,0.8,1.4,0.8,1.6,5.0
2123,Huddersfield,West Ham,2.64,3.05,2.96,A,1.6,1.2,2.0,1.0,5.0
2124,Newcastle,Swansea,1.94,3.31,4.38,D,0.8,1.6,2.4,0.4,5.0
2125,Tottenham,Everton,1.28,5.67,12.11,H,0.8,1.0,1.4,2.8,5.0
2126,Watford,Southampton,2.46,3.33,2.94,D,0.8,2.4,1.8,1.4,5.0
2127,West Brom,Brighton,2.12,3.0,4.14,H,0.0,1.0,1.4,0.8,5.0
2128,Bournemouth,Arsenal,4.49,4.02,1.73,H,1.2,2.2,0.8,1.4,6.0
2129,Liverpool,Man City,3.03,3.6,2.27,H,1.8,0.6,0.4,1.8,6.0
2130,Man United,Stoke,1.22,6.58,13.77,H,0.6,0.8,2.8,1.0,0.0
2131,Arsenal,Crystal Palace,1.5,4.46,6.55,H,1.2,1.6,0.4,2.4,5.0
2132,Brighton,Chelsea,6.17,3.76,1.62,A,1.2,1.4,1.0,0.8,5.0
2133,Burnley,Man United,6.64,3.82,1.58,A,2.6,1.2,1.2,0.6,5.0
2134,Everton,West Brom,2.14,3.14,3.82,D,0.6,0.6,1.4,1.8,5.0
2135,Leicester,Watford,1.84,3.75,4.22,H,1.0,1.2,1.4,1.6,5.0
2136,Man City,Newcastle,1.13,9.22,21.28,H,1.4,0.8,1.6,3.0,5.0
2137,Stoke,Huddersfield,2.03,3.33,3.97,H,1.0,1.8,2.4,1.0,5.0
2138,West Ham,Bournemouth,2.01,3.55,3.76,D,0.8,1.0,1.8,1.2,5.0
2139,Southampton,Tottenham,5.37,3.94,1.65,D,1.6,1.8,1.4,1.6,6.0
2140,Swansea,Liverpool,10.75,5.37,1.31,H,3.4,1.4,1.0,0.4,0.0
2141,Huddersfield,Liverpool,10.65,5.46,1.31,A,2.8,1.6,1.2,1.0,1.0
2142,Swansea,Arsenal,6.93,4.37,1.5,H,1.2,1.4,1.2,0.6,1.0
2143,West Ham,Crystal Palace,2.99,3.23,2.51,D,1.4,1.0,1.2,1.2,1.0
2144,Chelsea,Bournemouth,1.28,5.9,10.77,A,1.0,0.2,2.0,2.2,2.0
2145,Everton,Leicester,2.99,3.14,2.56,H,1.8,0.8,1.4,1.2,2.0
2146,Man City,West Brom,1.15,8.47,18.91,H,0.6,0.8,1.4,3.2,2.0
2147,Newcastle,Burnley,2.17,3.13,3.83,D,0.4,1.2,0.8,0.6,2.0
2148,Southampton,Brighton,1.75,3.43,5.49,D,0.0,1.8,1.6,1.0,2.0
2149,Stoke,Watford,2.22,3.44,3.3,D,0.4,1.2,1.8,1.4,2.0
2150,Tottenham,Man United,2.29,3.33,3.28,H,2.0,0.8,0.8,3.4,2.0
2151,Arsenal,Everton,1.31,5.43,10.46,H,0.6,1.8,1.4,2.2,4.0
2152,Bournemouth,Stoke,1.91,3.58,4.12,H,0.4,2.0,3.0,1.6,4.0
2153,Brighton,West Ham,2.32,3.02,3.53,H,2.4,2.2,1.4,0.8,4.0
2154,Burnley,Man City,11.77,5.69,1.28,D,2.0,1.2,1.0,0.6,4.0
2155,Leicester,Swansea,1.78,3.56,4.97,D,1.0,1.0,2.4,1.6,4.0
2156,Man United,Huddersfield,1.16,7.59,20.1,H,1.0,0.8,1.8,1.4,4.0
2157,West Brom,Southampton,2.54,3.13,3.0,A,1.0,0.6,1.8,0.8,4.0
2158,Crystal Palace,Newcastle,2.03,3.35,3.93,D,1.2,1.2,1.8,1.4,0.0
2159,Liverpool,Tottenham,2.08,3.69,3.44,D,1.6,1.0,1.2,2.4,0.0
2160,Watford,Chelsea,5.78,3.96,1.61,H,1.8,2.0,0.8,1.4,2.0
2161,Everton,Crystal Palace,2.24,3.2,3.47,H,1.6,1.0,1.4,1.2,1.0
2162,Man City,Leicester,1.21,6.76,13.46,H,1.4,0.6,1.4,3.4,1.0
2163,Stoke,Brighton,2.19,3.18,3.62,D,0.2,1.0,1.4,1.0,1.0
2164,Swansea,Burnley,2.45,2.98,3.28,H,0.6,1.6,0.8,1.0,1.0
2165,Tottenham,Arsenal,2.0,3.76,3.58,H,1.2,0.6,1.6,2.8,1.0
2166,West Ham,Watford,2.48,3.28,2.93,H,0.4,1.2,1.6,1.2,1.0
2167,Huddersfield,Bournemouth,3.22,3.16,2.38,H,1.2,2.2,1.6,0.6,4.0
2168,Newcastle,Man United,5.56,3.8,1.65,H,1.4,0.8,1.0,0.4,4.0
2169,Southampton,Liverpool,4.42,3.8,1.8,A,2.4,1.8,1.0,1.0,4.0
2170,Chelsea,West Brom,1.37,4.89,8.71,H,0.6,0.6,1.8,1.6,6.0
2171,Bournemouth,Newcastle,2.1,3.42,3.63,D,1.2,2.0,1.4,1.8,5.0
2172,Brighton,Swansea,2.1,3.13,4.03,H,1.0,1.4,2.2,1.2,5.0
2173,Burnley,Southampton,2.86,3.03,2.74,D,1.4,1.4,2.0,0.6,5.0
2174,Leicester,Stoke,1.72,3.76,5.13,D,0.4,1.2,2.4,1.6,5.0
2175,Liverpool,West Ham,1.23,6.71,12.67,H,2.4,1.2,1.6,2.6,5.0
2176,Watford,Everton,2.21,3.33,3.42,H,0.6,2.0,2.2,2.0,5.0
2177,West Brom,Huddersfield,1.94,3.25,4.49,A,1.0,1.2,1.8,1.2,5.0
2178,Crystal Palace,Tottenham,6.79,4.41,1.49,A,1.8,1.0,1.4,1.2,6.0
2179,Man United,Chelsea,2.28,3.24,3.38,H,2.0,0.4,1.4,1.6,6.0
2180,Arsenal,Man City,4.35,3.95,1.78,A,1.8,1.4,1.0,3.0,2.0
2181,Burnley,Everton,2.48,3.04,3.26,H,0.4,1.6,2.4,0.6,5.0
2182,Leicester,Bournemouth,1.85,3.7,4.32,D,1.4,0.8,2.2,1.8,5.0
2183,Liverpool,Newcastle,1.21,6.95,13.84,H,1.6,1.4,1.6,3.4,5.0
2184,Southampton,Stoke,1.74,3.67,5.16,D,0.6,1.4,2.4,0.8,5.0
2185,Swansea,West Ham,2.55,3.17,2.98,H,2.0,0.8,2.4,1.2,5.0
2186,Tottenham,Huddersfield,1.19,7.18,16.27,H,0.6,0.6,1.8,2.6,5.0
2187,Watford,West Brom,2.13,3.29,3.73,H,0.6,1.2,2.4,2.0,5.0
2188,Brighton,Arsenal,3.94,3.67,1.93,H,1.2,1.6,1.8,2.0,1.0
2189,Man City,Chelsea,1.6,4.14,5.63,H,1.6,0.6,1.6,3.6,1.0
2190,Crystal Palace,Man United,6.47,4.05,1.56,A,1.0,1.0,1.0,0.8,3.0
2191,Chelsea,Crystal Palace,1.3,5.54,11.0,H,1.2,0.6,2.0,2.0,2.0
2192,Everton,Brighton,2.19,3.19,3.65,H,0.4,1.0,1.2,1.2,2.0
2193,Huddersfield,Swansea,2.49,3.08,3.16,D,1.0,1.8,2.4,1.2,2.0
2194,Man United,Liverpool,2.7,3.3,2.71,H,2.0,0.6,1.0,1.8,2.0
2195,Newcastle,Southampton,2.74,3.12,2.79,H,1.6,0.6,2.0,0.6,2.0
2196,West Brom,Leicester,2.97,3.19,2.54,A,0.8,1.2,2.2,1.2,2.0
2197,West Ham,Burnley,2.27,3.15,3.51,A,0.6,1.2,1.0,1.6,2.0
2198,Arsenal,Watford,1.47,4.62,6.67,H,0.2,2.0,1.6,2.8,5.0
2199,Bournemouth,Tottenham,6.09,4.47,1.52,A,1.8,1.6,0.6,2.2,5.0
2200,Stoke,Man City,13.18,6.47,1.23,A,1.6,0.6,1.0,1.2,0.0
2201,Bournemouth,West Brom,1.84,3.54,4.56,H,0.4,1.8,2.0,1.8,5.0
2202,Huddersfield,Crystal Palace,2.88,3.12,2.65,A,1.2,1.6,2.2,1.0,5.0
2203,Liverpool,Watford,1.19,7.39,15.4,H,0.2,1.4,2.0,2.8,5.0
2204,Stoke,Everton,2.45,3.23,3.07,A,0.6,0.8,2.8,0.6,5.0
2205,Brighton,Leicester,2.75,3.15,2.73,A,1.4,1.8,2.0,2.2,5.0
2206,Crystal Palace,Liverpool,6.26,4.41,1.52,A,1.6,1.0,0.8,0.8,5.0
2207,Everton,Man City,9.14,5.12,1.35,A,1.8,1.0,1.0,1.6,5.0
2208,Man United,Swansea,1.24,6.09,13.32,H,1.0,0.4,1.4,1.8,5.0
2209,Newcastle,Huddersfield,1.75,3.52,5.19,H,0.4,0.4,2.0,1.2,5.0
2210,Watford,Bournemouth,2.32,3.39,3.12,D,1.6,1.0,1.6,1.8,5.0
2211,West Brom,Burnley,2.59,3.03,3.02,A,0.8,2.0,0.6,1.4,5.0
